CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0001,M,32,IV,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:E;PHY:C;CHEM:D;BIO:D;B-MATH:C,s0101
S0101/0002,M,47,0,CIV:F;HIST:F;GEO:F;KISW:E;ENGL:F;PHY:E;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0003,M,48,0,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:X;KISW:E;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0004,M,20,II,CIV:B;HIST:B;GEO:C;KISW:B+;ENGL:C;PHY:B;CHEM:C;BIO:B;B-MATH:B+,s0101
S0101/0005,M,46,0,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:D;ENGL:E;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0006,M,18,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:B;PHY:B+;CHEM:B+;BIO:B;B-MATH:A,s0101
S0101/0007,M,46,0,CIV:E;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0008,M,31,III,CIV:C;HIST:D;GEO:D;F.ART:C;KISW:C;ENGL:C;BIO:D;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0009,M,49,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0010,M,49,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0011,M,26,III,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0012,M,17,I,CIV:C;HIST:B;GEO:C;E-D-KIISLAMU:B;KISW:B+;ENGL:B+;PHY:B+;CHEM:B;BIO:B+;B-MATH:B,s0101
S0101/0013,M,33,IV,CIV:C;HIST:C;GEO:D;E-D-KIISLAMU:X;KISW:C;ENGL:E;BIO:D;B-MATH:E;COMM:D;B-KEEPING:E,s0101
S0101/0014,M,43,IV,CIV:E;HIST:E;GEO:F;E-D-KIISLAMU:F;KISW:C;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:E,s0101
S0101/0015,M,45,0,CIV:F;HIST:F;GEO:F;F.ART:X;KISW:E;ENGL:F;PHY:F;CHEM:E;BIO:F;B-MATH:D,s0101
S0101/0016,M,28,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0017,M,45,0,CIV:E;HIST:F;GEO:E;KISW:E;ENGL:E;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
