CNO,SEX,AGGT,DIV,DETAILED-SUBJECTS,center_id
S0101/0001,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0002,M,*E,*E,,s0101
S0101/0003,M,32,IV,CIV:F;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0004,M,14,I,CIV:C;HIST:B;GEO:B;KISW:C;ENGL:B;PHY:C;CHEM:A;BIO:B;B-MATH:B,s0101
S0101/0005,M,*E,*E,,s0101
S0101/0006,M,35,0,CIV:F;HIST:F;GEO:F;PHY;EDU:X;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0007,M,34,0,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0008,M,*E,*E,,s0101
S0101/0009,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0010,M,35,0,CIV:F;HIST:F;GEO:F;B-KNOWL:X;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0011,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0012,M,35,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F;COMM:X,s0101
S0101/0013,M,*E,*E,,s0101
S0101/0014,M,32,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0015,M,20,II,CIV:C;HIST:C;GEO:C;B-KNOWL:D;KISW:C;ENGL:B;BIO:C;B-MATH:F;COMM:C;B-KEEPING:D,s0101
S0101/0016,M,15,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:B;CHEM:A;BIO:B;B-MATH:A,s0101
S0101/0017,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0018,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:C;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0019,M,*E,*E,,s0101
S0101/0020,M,15,I,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:B;FREN:C;PHY:C;CHEM:B;BIO:A;B-MATH:B,s0101
S0101/0021,M,25,III,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:F;CHEM:F;BIO:D;B-MATH:D,s0101
S0101/0022,M,*E,*E,,s0101
S0101/0023,M,24,III,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:D;B-MATH:D,s0101
S0101/0024,M,21,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:D,s0101
S0101/0025,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:C;B-MATH:C,s0101
S0101/0026,M,19,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0027,M,*E,*E,,s0101
S0101/0028,M,21,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0029,M,29,IV,CIV:C;HIST:F;GEO:D;E-D-KIISLAMU:X;KISW:F;ENGL:C;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0030,M,35,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0031,M,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0032,M,*E,*E,,s0101
S0101/0033,M,*E,*E,,s0101
S0101/0034,M,21,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;COMP;STUD:F;B-MATH:C,s0101
S0101/0035,M,29,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:C;PHY:F;CHEM:F;BIO:D;COMP;STUD:F;B-MATH:F,s0101
S0101/0036,M,25,III,CIV:D;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:F;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0037,M,33,IV,CIV:F;HIST:D;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0038,M,26,IV,CIV:D;HIST:C;GEO:D;KISW:D;ENGL:C;PHY:F;CHEM:F;BIO:C;B-MATH:F,s0101
S0101/0039,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0040,M,19,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:B;B-MATH:C,s0101
S0101/0041,M,*E,*E,,s0101
S0101/0042,M,*E,*E,,s0101
S0101/0043,M,21,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:F,s0101
S0101/0044,M,30,IV,CIV:C;HIST:F;GEO:F;E-D-KIISLAMU:X;KISW:F;ENGL:C;BIO:D;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0045,M,35,0,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0046,M,35,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0047,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:C;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0048,M,*E,*E,,s0101
S0101/0049,M,*E,*E,,s0101
S0101/0050,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;FREN:X;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0051,M,11,I,CIV:B;HIST:B;GEO:B;KISW:B;ENGL:A;FREN:B;PHY:C;CHEM:A;BIO:A;B-MATH:C,s0101
S0101/0052,M,34,0,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0053,M,30,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:D;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0054,M,26,IV,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0055,M,32,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0056,M,19,II,CIV:C;HIST:C;GEO:D;F.ART:A;KISW:C;ENGL:B;BIO:C;B-MATH:F;COMM:D;B-KEEPING:F,s0101
S0101/0057,M,26,IV,CIV:C;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0058,M,*E,*E,,s0101
S0101/0059,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:B,s0101
S0101/0060,M,20,II,CIV:C;HIST:C;GEO:C;KISW:D;ENGL:B;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0061,M,25,III,CIV:C;HIST:F;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0062,M,21,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0063,M,33,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0064,M,*E,*E,,s0101
S0101/0065,M,18,II,CIV:C;HIST:C;GEO:C;PHY;EDU:C;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0066,M,23,III,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0067,M,32,IV,CIV:F;HIST:F;GEO:F;B-KNOWL:F;KISW:D;ENGL:D;BIO:D;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0068,M,21,II,CIV:C;HIST:D;GEO:D;PHY;EDU:C;KISW:D;ENGL:C;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0069,M,*E,*E,,s0101
S0101/0070,M,30,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0071,M,34,0,CIV:F;HIST:F;GEO:F;PHY;EDU:X;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0072,M,30,IV,CIV:D;HIST:F;GEO:F;KISW:D;ENGL:D;PHY:F;CHEM:D;BIO:D;B-MATH:F,s0101
S0101/0073,M,11,I,CIV:C;HIST:B;GEO:C;KISW:B;ENGL:B;PHY:A;CHEM:A;BIO:B;B-MATH:A,s0101
S0101/0074,M,*E,*E,,s0101
S0101/0075,M,*E,*E,,s0101
S0101/0076,M,25,III,CIV:C;HIST:D;GEO:D;E-D-KIISLAMU:D;KISW:D;ENGL:D;PHY:D;CHEM:C;BIO:C;B-MATH:F,s0101
S0101/0077,M,*E,*E,,s0101
S0101/0078,M,33,IV,CIV:F;HIST:F;GEO:F;F.ART:D;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0079,M,19,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:B;BIO:C;COMP;STUD:D;B-MATH:D;COMM:D;B-KEEPING:C,s0101
S0101/0080,M,25,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;BIO:D;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0081,M,*E,*E,,s0101
S0101/0082,M,18,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0083,M,32,IV,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:D;BIO:F;B-MATH:D;COMM:F;B-KEEPING:F,s0101
S0101/0084,M,23,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:B;PHY:D;CHEM:D;BIO:C;B-MATH:D,s0101
S0101/0085,M,25,III,CIV:D;HIST:F;GEO:D;KISW:C;ENGL:C;BIO:C;B-MATH:D;COMM:D;B-KEEPING:F,s0101
S0101/0087,M,34,0,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0088,M,34,0,CIV:F;HIST:F;GEO:F;KISW:D;ENGL:F;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0089,M,23,III,CIV:C;HIST:D;GEO:D;KISW:C;ENGL:C;PHY:F;CHEM:D;BIO:C;COMP;STUD:F;B-MATH:C,s0101
S0101/0090,M,*E,*E,,s0101
S0101/0091,M,*E,*E,,s0101
S0101/0092,M,21,II,CIV:C;HIST:C;GEO:C;B-KNOWL:C;KISW:C;ENGL:C;BIO:C;B-MATH:D;COMM:D;B-KEEPING:D,s0101
S0101/0093,M,*E,*E,,s0101
S0101/0094,M,21,II,CIV:D;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:D;CHEM:C;BIO:C;B-MATH:F,s0101
S0101/0095,M,15,I,CIV:C;HIST:B;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:A,s0101
S0101/0096,M,18,II,CIV:C;HIST:C;GEO:C;KISW:B;ENGL:C;PHY:C;CHEM:B;BIO:B;B-MATH:C,s0101
S0101/0097,M,27,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:C;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0098,M,21,II,CIV:C;HIST:C;GEO:D;KISW:C;ENGL:C;PHY:D;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0099,M,25,III,CIV:D;HIST:D;GEO:D;KISW:C;ENGL:D;PHY:D;CHEM:D;BIO:C;B-MATH:C,s0101
S0101/0100,M,20,II,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:C;B-MATH:C,s0101
S0101/0101,M,28,IV,CIV:D;HIST:F;GEO:D;KISW:D;ENGL:D;PHY:D;CHEM:D;BIO:D;B-MATH:D,s0101
S0101/0102,M,26,IV,CIV:D;HIST:D;GEO:D;F.ART:X;KISW:D;ENGL:C;PHY:D;CHEM:F;BIO:C;B-MATH:D,s0101
S0101/0103,M,35,0,CIV:F;HIST:F;GEO:F;E-D-KIISLAMU:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0104,M,17,I,CIV:C;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:B;BIO:B;B-MATH:B,s0101
S0101/0105,M,34,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:D;BIO:F;B-MATH:F;COMM:F;B-KEEPING:F,s0101
S0101/0106,M,26,IV,CIV:D;HIST:D;GEO:D;PHY;EDU:D;KISW:D;ENGL:C;BIO:C;B-MATH:F;COMM:D;B-KEEPING:F,s0101
S0101/0107,M,28,IV,CIV:D;HIST:D;GEO:D;KISW:D;ENGL:C;PHY:F;CHEM:F;BIO:D;B-MATH:F,s0101
S0101/0108,M,12,I,CIV:B;HIST:B;GEO:C;F.ART:D;KISW:C;ENGL:B;PHY:C;CHEM:A;BIO:A;B-MATH:A,s0101
S0101/0109,M,18,II,CIV:B;HIST:C;GEO:C;KISW:C;ENGL:B;PHY:C;CHEM:C;BIO:B;COMP;STUD:C;B-MATH:C,s0101
S0101/0110,M,33,IV,CIV:D;HIST:F;GEO:F;KISW:F;ENGL:D;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
S0101/0111,M,35,0,CIV:F;HIST:F;GEO:F;KISW:F;ENGL:F;PHY:F;CHEM:F;BIO:F;B-MATH:F,s0101
